Title,Year,Score,Genre,Vote,Director,Runtime,Revenue,Oscar,Guild,Globe,win,nominee
2 Days in New York,2012,6.0,"Comedy, Drama, Romance",13113,Julie Delpy,96,0.63,-1.0,-1.0,-1.0,-1.0,False
2 Days in Paris,2007,6.8,"Comedy, Drama, Romance",28689,Julie Delpy,96,4.43,-1.0,-1.0,-1.0,-1.0,False
2 Days in the Valley,1996,6.5,"Comedy, Crime, Thriller",17018,John Herzfeld,104,11.11,-1.0,-1.0,-1.0,-1.0,False
2 Fast 2 Furious,2003,5.9,"Action, Crime, Thriller",223367,John Singleton,107,127.15,-1.0,-1.0,-1.0,-1.0,False
2 Guns,2013,6.7,"Action, Comedy, Crime",177097,Baltasar Kormákur,109,75.61,-1.0,-1.0,-1.0,-1.0,False
2 States,2014,6.9,"Comedy, Drama, Romance",21078,Abhishek Varman,149,2.22,-1.0,-1.0,-1.0,-1.0,False
20 ans d'écart,2013,6.4,"Comedy, Romance",7648,David Moreau,92,,-1.0,-1.0,-1.0,-1.0,False
"20,000 Leagues Under the Sea",1954,7.2,"Adventure, Drama, Family",25256,Richard Fleischer,127,28.2,-1.0,-1.0,-1.0,-1.0,False
200 Cigarettes,1999,5.9,"Comedy, Drama, Romance",13843,Risa Bramon Garcia,101,6.85,-1.0,-1.0,-1.0,-1.0,False
2001 Maniacs,2005,5.4,"Comedy, Horror",11158,Tim Sullivan,87,,-1.0,-1.0,-1.0,-1.0,False
2001: A Space Odyssey,1968,8.3,"Adventure, Sci-Fi",519401,Stanley Kubrick,149,56.95,1.0,-1.0,-1.0,1.0,True
2001: A Space Travesty,2000,3.4,"Comedy, Sci-Fi",10465,Allan A. Goldstein,99,,-1.0,-1.0,-1.0,-1.0,False
2010,1984,6.8,"Adventure, Mystery, Sci-Fi",45751,Peter Hyams,116,40.2,0.0,-1.0,-1.0,0.0,True
2012,2009,5.8,"Action, Adventure, Sci-Fi",318941,Roland Emmerich,158,166.11,-1.0,-1.0,-1.0,-1.0,False
2046,2004,7.5,"Drama, Romance, Sci-Fi",45911,Kar-Wai Wong,129,0.26,-1.0,-1.0,-1.0,-1.0,False
20th Century Women,2016,7.3,"Comedy, Drama",29381,Mike Mills,119,5.66,0.0,-1.0,0.0,0.0,True
21,2008,6.8,"Crime, Drama, History",209187,Robert Luketic,123,81.16,-1.0,-1.0,-1.0,-1.0,False
21 & Over,2013,5.9,Comedy,67236,Jon Lucas,93,25.68,-1.0,-1.0,-1.0,-1.0,False
21 Grams,2003,7.7,"Crime, Drama, Thriller",208370,Alejandro G. Iñárritu,124,16.25,0.0,0.0,-1.0,0.0,True
21 Jump Street,2012,7.2,"Action, Comedy, Crime",464483,Phil Lord,109,138.45,-1.0,-1.0,-1.0,-1.0,False
22 Jump Street,2014,7.0,"Action, Comedy, Crime",308485,Phil Lord,112,191.72,-1.0,-1.0,-1.0,-1.0,False
22-Jul,2018,6.8,"Crime, Drama, History",10964,Paul Greengrass,143,,-1.0,-1.0,-1.0,-1.0,False
23,1998,7.3,"Thriller, Drama",6057,Hans-Christian Schmid,99,,-1.0,-1.0,-1.0,-1.0,False
24,2016,7.9,"Action, Sci-Fi, Thriller",13832,Vikram K. Kumar,164,,-1.0,1.0,-1.0,1.0,True
24 Hour Party People,2002,7.4,"Biography, Comedy, Drama",29672,Michael Winterbottom,117,1.13,-1.0,-1.0,-1.0,-1.0,False
24 Hours to Live,2017,5.7,"Action, Sci-Fi, Thriller",8441,Brian Smrz,93,,-1.0,-1.0,-1.0,-1.0,False
25th Hour,2002,7.7,Drama,160536,Spike Lee,135,13.06,-1.0,-1.0,0.0,0.0,True
27 Dresses,2008,6.1,"Comedy, Romance",140470,Anne Fletcher,111,76.81,-1.0,-1.0,-1.0,-1.0,False
28 Days,2000,6.0,"Comedy, Drama",39218,Betty Thomas,103,37.17,-1.0,-1.0,-1.0,-1.0,False
28 Days Later...,2002,7.6,"Drama, Horror, Sci-Fi",337118,Danny Boyle,113,45.06,-1.0,-1.0,-1.0,-1.0,False
28 Weeks Later,2007,7.0,"Drama, Horror, Sci-Fi",236366,Juan Carlos Fresnadillo,100,28.64,-1.0,-1.0,-1.0,-1.0,False
3 Days to Kill,2014,6.2,"Action, Drama, Thriller",79272,McG,117,30.7,-1.0,-1.0,-1.0,-1.0,False
3 Idiots,2009,8.4,"Comedy, Drama",284324,Rajkumar Hirani,170,6.53,-1.0,-1.0,-1.0,-1.0,False
3 Men and a Baby,1987,5.9,"Comedy, Drama, Family",41737,Leonard Nimoy,102,167.78,-1.0,-1.0,-1.0,-1.0,False
3 Men and a Little Lady,1990,5.3,"Comedy, Drama, Family",19973,Emile Ardolino,104,71.61,-1.0,-1.0,-1.0,-1.0,False
3 Ninja Kids,1992,5.2,"Action, Comedy, Family",18298,Jon Turteltaub,84,29.0,-1.0,-1.0,-1.0,-1.0,False
3 Ninjas Kick Back,1994,4.4,"Family, Comedy, Action",7559,Charles T. Kanganis,93,11.78,-1.0,-1.0,-1.0,-1.0,False
