Title,Year,Score,Genre,Vote,Director,Runtime,Revenue,Oscar,Guild,Globe,win,nominee
Astérix et le coup du menhir,1989,6.4,"Animation, Adventure, Comedy",6213,Philippe Grimond,81,,-1.0,-1.0,-1.0,-1.0,False
Astérix et les Vikings,2006,6.0,"Animation, Adventure, Comedy",9444,Stefan Fjeldmark,78,,-1.0,-1.0,-1.0,-1.0,False
At Any Price,2012,5.6,"Drama, Sport, Thriller",6592,Ramin Bahrani,105,0.38,-1.0,-1.0,-1.0,-1.0,False
At Close Range,1986,7.0,"Crime, Drama",12397,James Foley,111,2.35,-1.0,-1.0,-1.0,-1.0,False
At First Sight,1999,5.9,"Drama, Romance",12221,Irwin Winkler,128,22.37,-1.0,-1.0,-1.0,-1.0,False
At Middleton,2013,6.5,"Comedy, Romance",6900,Adam Rodgers,99,0.05,-1.0,-1.0,-1.0,-1.0,False
Athadu,2005,8.3,"Action, Comedy, Musical",9782,Trivikram Srinivas,172,,-1.0,-1.0,-1.0,-1.0,False
Atharintiki Daaredi,2013,7.2,"Action, Comedy, Drama",7562,Trivikram Srinivas,170,,-1.0,-1.0,-1.0,-1.0,False
"Atlantic City, USA",1980,7.4,"Crime, Drama, Romance",12833,Louis Malle,104,,-1.0,-1.0,-1.0,-1.0,False
Atlantis: The Lost Empire,2001,6.9,"Animation, Action, Adventure",88492,Gary Trousdale,95,84.05,-1.0,-1.0,-1.0,-1.0,False
Atlas Shrugged II: The Strike,2012,5.4,"Drama, Mystery, Sci-Fi",6113,John Putch,111,3.33,-1.0,-1.0,-1.0,-1.0,False
Atlas Shrugged: Part I,2011,5.7,"Drama, Mystery, Sci-Fi",12126,Paul Johansson,97,4.75,-1.0,-1.0,-1.0,-1.0,False
Atomic Blonde,2017,6.7,"Action, Mystery, Thriller",137460,David Leitch,115,51.57,-1.0,-1.0,-1.0,-1.0,False
Atomised,2006,6.6,"Drama, Romance",7485,Oskar Roehler,113,,-1.0,-1.0,-1.0,-1.0,False
Atonement,2007,7.8,"Drama, Mystery, Romance",221287,Joe Wright,123,50.93,1.0,-1.0,1.0,1.0,True
Attack of the Killer Tomatoes!,1978,4.6,"Adventure, Comedy, Horror",11083,John De Bello,83,,-1.0,-1.0,-1.0,-1.0,False
Attack the Block,2011,6.6,"Action, Comedy, Sci-Fi",91422,Joe Cornish,88,1.02,-1.0,-1.0,-1.0,-1.0,False
Au Hasard Balthazar,1966,7.9,Drama,14543,Robert Bresson,95,0.04,-1.0,-1.0,-1.0,-1.0,False
Au Revoir les Enfants,1987,8.0,"Drama, War",27407,Louis Malle,104,4.54,-1.0,-1.0,-1.0,-1.0,False
Audition,1999,7.2,"Drama, Horror, Mystery",63284,Takashi Miike,115,,-1.0,-1.0,-1.0,-1.0,False
August Rush,2007,7.5,"Drama, Music",97206,Kirsten Sheridan,114,31.66,0.0,-1.0,-1.0,0.0,True
August: Osage County,2013,7.2,Drama,77516,John Wells,121,37.74,0.0,0.0,0.0,0.0,True
Auntie Mame,1958,8.0,"Comedy, Drama, Romance",9186,Morton DaCosta,143,23.3,0.0,-1.0,1.0,1.0,True
Aus dem Nichts,2017,7.1,"Crime, Drama, Thriller",17806,Fatih Akin,106,0.32,-1.0,-1.0,-1.0,-1.0,False
Austenland,2013,6.3,"Comedy, Romance",17345,Jerusha Hess,97,2.15,-1.0,-1.0,-1.0,-1.0,False
Austin Powers in Goldmember,2002,6.2,"Action, Adventure, Comedy",179346,Jay Roach,94,213.31,-1.0,-1.0,-1.0,-1.0,False
Austin Powers: International Man of Mystery,1997,7.0,"Adventure, Comedy",201408,Jay Roach,94,53.88,-1.0,-1.0,-1.0,-1.0,False
Austin Powers: The Spy Who Shagged Me,1999,6.6,"Action, Adventure, Comedy",198903,Jay Roach,95,206.04,0.0,-1.0,0.0,0.0,True
Australia,2008,6.6,"Adventure, Drama, Romance",111692,Baz Luhrmann,165,49.55,0.0,-1.0,-1.0,0.0,True
Auto Focus,2002,6.6,"Biography, Crime, Drama",12233,Paul Schrader,105,2.06,-1.0,-1.0,-1.0,-1.0,False
Autoreiji,2010,6.8,"Action, Crime, Drama",10733,Takeshi Kitano,109,,-1.0,-1.0,-1.0,-1.0,False
Autumn in New York,2000,5.6,"Drama, Romance",22720,Joan Chen,103,37.75,-1.0,-1.0,-1.0,-1.0,False
Autómata,2014,6.1,"Action, Sci-Fi, Thriller",49691,Gabe Ibáñez,109,,-1.0,-1.0,-1.0,-1.0,False
Av Mevsimi,2010,7.5,"Crime, Drama, Mystery",25633,Yavuz Turgul,140,,-1.0,-1.0,-1.0,-1.0,False
Avalon,2001,6.5,"Action, Drama, Fantasy",12254,Mamoru Oshii,107,,-1.0,-1.0,-1.0,-1.0,False
Avanti!,1972,7.2,"Comedy, Romance",8140,Billy Wilder,144,3.3,-1.0,-1.0,1.0,1.0,True
Avatar,2009,7.8,"Action, Adventure, Fantasy",1007157,James Cameron,162,760.51,1.0,-1.0,1.0,1.0,True
Avaze gonjeshk-ha,2008,7.9,"Drama, Family",7893,Majid Majidi,96,0.12,-1.0,-1.0,-1.0,-1.0,False
Avengers Assemble,2012,8.1,"Action, Adventure, Sci-Fi",1130818,Joss Whedon,143,623.36,-1.0,-1.0,-1.0,-1.0,False
Avengers: Age of Ultron,2015,7.4,"Action, Adventure, Sci-Fi",610673,Joss Whedon,141,459.01,-1.0,-1.0,-1.0,-1.0,False
Avengers: Infinity War,2018,8.6,"Action, Adventure, Fantasy",515214,Anthony Russo,149,678.82,0.0,0.0,-1.0,0.0,True
Avenging Angelo,2002,5.2,"Action, Comedy, Crime",7870,Martyn Burke,97,,-1.0,-1.0,-1.0,-1.0,False
Awake,2007,6.5,"Crime, Drama, Mystery",68506,Joby Harold,84,14.38,-1.0,-1.0,-1.0,-1.0,False
Awakenings,1990,7.8,"Biography, Drama",108051,Penny Marshall,121,52.1,0.0,-1.0,0.0,0.0,True
Awara Paagal Deewana,2002,6.4,"Action, Comedy, Crime",6697,Vikram Bhatt,158,,-1.0,-1.0,-1.0,-1.0,False
Away We Go,2009,7.1,"Comedy, Drama, Romance",49051,Sam Mendes,98,9.45,-1.0,-1.0,-1.0,-1.0,False
Away from Her,2006,7.6,Drama,20253,Sarah Polley,110,4.57,-1.0,-1.0,-1.0,-1.0,False
Ayan,2009,7.3,Action,6753,Anand K.V.,162,,-1.0,-1.0,-1.0,-1.0,False
Ayla: The Daughter of War,2017,8.9,"Drama, History, War",22946,Can Ulkay,125,,-1.0,-1.0,-1.0,-1.0,False
Aynabaji,2016,9.4,"Crime, Mystery, Thriller",17926,Amitabh Reza Chowdhury,147,,-1.0,-1.0,-1.0,-1.0,False
Azuloscurocasinegro,2006,7.3,Drama,7317,Daniel Sánchez Arévalo,105,0.0,-1.0,-1.0,-1.0,-1.0,False
Azumi,2003,6.9,"Action, Adventure, Drama",13704,Ryûhei Kitamura,128,,-1.0,-1.0,-1.0,-1.0,False
BASEketball,1998,6.6,"Comedy, Sport",52391,David Zucker,103,6.94,-1.0,-1.0,-1.0,-1.0,False
Baadshah,1999,6.9,"Action, Comedy, Crime",14741,Abbas Alibhai Burmawalla,175,,-1.0,-1.0,-1.0,-1.0,False
Baaghi 2,2018,5.0,"Action, Thriller",6616,Ahmed Khan,137,1.32,-1.0,-1.0,-1.0,-1.0,False
Baahubali 2: The Conclusion,2017,8.3,"Action, Drama, Fantasy",60785,S.S. Rajamouli,167,20.19,-1.0,-1.0,-1.0,-1.0,False
Baarìa,2009,6.9,"Comedy, Drama",6205,Giuseppe Tornatore,163,0.0,-1.0,-1.0,-1.0,-1.0,False
Baasha,1995,8.3,"Action, Crime, Drama",6804,Suresh Krishna,145,,-1.0,-1.0,-1.0,-1.0,False
Baazigar,1993,7.8,"Crime, Drama, Musical",22360,Abbas Alibhai Burmawalla,175,,-1.0,-1.0,-1.0,-1.0,False
Babam ve Oglum,2005,8.4,"Drama, Family",61526,Çagan Irmak,108,,-1.0,-1.0,-1.0,-1.0,False
Babe,1995,6.8,"Comedy, Drama, Family",105700,Chris Noonan,91,66.6,1.0,-1.0,-1.0,1.0,True
Babe: Pig in the City,1998,5.8,"Adventure, Comedy, Drama",28435,George Miller,97,18.32,0.0,-1.0,-1.0,0.0,True
Babel,2006,7.5,Drama,267737,Alejandro G. Iñárritu,143,34.3,1.0,0.0,0.0,1.0,True
Babettes gæstebud,1987,7.8,Drama,15837,Gabriel Axel,103,4.4,-1.0,-1.0,-1.0,-1.0,False
Baby,2015,8.1,"Action, Thriller",46335,Neeraj Pandey,159,,-1.0,-1.0,-1.0,-1.0,False
Baby Boom,1987,6.2,"Comedy, Drama, Romance",12153,Charles Shyer,110,26.71,-1.0,-1.0,0.0,0.0,True
Baby Boy,2001,6.4,"Crime, Drama, Romance",11180,John Singleton,130,28.73,-1.0,-1.0,-1.0,-1.0,False
Baby Driver,2017,7.6,"Action, Crime, Drama",330580,Edgar Wright,112,107.83,0.0,0.0,0.0,0.0,True
Baby Geniuses,1999,2.6,"Comedy, Crime, Family",22617,Bob Clark,97,27.14,-1.0,-1.0,-1.0,-1.0,False
Baby Mama,2008,6.0,"Comedy, Romance",37758,Michael McCullers,99,60.27,-1.0,-1.0,-1.0,-1.0,False
Baby's Day Out,1994,6.0,"Adventure, Comedy, Crime",39431,Patrick Read Johnson,99,16.67,-1.0,-1.0,-1.0,-1.0,False
Babylon A.D.,2008,5.6,"Action, Adventure, Sci-Fi",88268,Mathieu Kassovitz,90,22.53,-1.0,-1.0,-1.0,-1.0,False
Babysitter Wanted,2008,5.5,"Horror, Thriller",6731,Jonas Barnes,93,,-1.0,-1.0,-1.0,-1.0,False
Babysitting,2014,6.8,Comedy,7403,Nicolas Benamou,85,,-1.0,-1.0,-1.0,-1.0,False
Bacalaureat,2016,7.4,"Crime, Drama",9645,Cristian Mungiu,128,0.18,-1.0,-1.0,-1.0,-1.0,False
Bacheha-Ye aseman,1997,8.3,"Drama, Family",47598,Majid Majidi,89,0.93,-1.0,-1.0,-1.0,-1.0,False
Bachelor Knight,1947,7.3,"Comedy, Romance",6890,Irving Reis,95,,-1.0,-1.0,-1.0,-1.0,False
Bachelor Party,1984,6.3,Comedy,32150,Neal Israel,105,38.44,-1.0,-1.0,-1.0,-1.0,False
Bachelorette,2012,5.3,"Comedy, Romance",42042,Leslye Headland,87,0.45,-1.0,-1.0,-1.0,-1.0,False
Bachna Ae Haseeno,2008,6.2,"Comedy, Drama, Romance",8865,Siddharth Anand,152,0.69,-1.0,-1.0,-1.0,-1.0,False
Back to School,1986,6.6,"Comedy, Romance, Sport",24699,Alan Metter,96,91.26,-1.0,-1.0,-1.0,-1.0,False
Back to the Future,1985,8.5,"Adventure, Comedy, Sci-Fi",890767,Robert Zemeckis,116,210.61,1.0,-1.0,-1.0,1.0,True
Back to the Future Part II,1989,7.8,"Adventure, Comedy, Sci-Fi",406374,Robert Zemeckis,108,118.5,0.0,-1.0,-1.0,0.0,True
Back to the Future Part III,1990,7.4,"Adventure, Comedy, Sci-Fi",342129,Robert Zemeckis,118,87.73,-1.0,-1.0,-1.0,-1.0,False
Backdraft,1991,6.7,"Action, Crime, Drama",64478,Ron Howard,137,77.87,0.0,-1.0,-1.0,0.0,True
Backtrack,2015,5.9,"Drama, Horror, Mystery",9938,Michael Petroni,90,,-1.0,-1.0,-1.0,-1.0,False
Bad Ass,2012,5.5,"Action, Comedy, Crime",17407,Craig Moss,90,,-1.0,-1.0,-1.0,-1.0,False
Bad Boy Bubby,1993,7.4,"Comedy, Crime, Drama",10938,Rolf de Heer,114,,-1.0,-1.0,-1.0,-1.0,False
Bad Boys,1995,6.8,"Action, Comedy, Crime",199495,Michael Bay,119,65.81,-1.0,-1.0,-1.0,-1.0,False
Bad Boys,1983,7.2,"Crime, Drama, Thriller",12323,Rick Rosenthal,123,9.2,-1.0,-1.0,-1.0,-1.0,False
Bad Boys II,2003,6.6,"Action, Comedy, Crime",200483,Michael Bay,147,138.61,-1.0,-1.0,-1.0,-1.0,False
Bad Bromance,2015,5.0,"Comedy, Drama",9786,Andrew Mogel,101,0.66,-1.0,-1.0,-1.0,-1.0,False
Bad Company,2002,5.6,"Action, Adventure, Comedy",42453,Joel Schumacher,116,30.16,-1.0,-1.0,-1.0,-1.0,False
Bad Country,2014,5.8,"Action, Crime, Drama",7313,Chris Brinker,95,,-1.0,-1.0,-1.0,-1.0,False
Bad Day at Black Rock,1955,7.8,"Crime, Drama, Mystery",16792,John Sturges,81,,0.0,-1.0,-1.0,0.0,True
Bad Education,2004,7.5,"Crime, Drama",50212,Pedro Almodóvar,106,5.21,-1.0,-1.0,-1.0,-1.0,False
Bad Girls,1994,5.1,"Romance, Western",10659,Jonathan Kaplan,99,15.24,-1.0,-1.0,-1.0,-1.0,False
Bad Grandpa,2013,6.5,Comedy,84354,Jeff Tremaine,92,102.0,-1.0,-1.0,-1.0,-1.0,False
Bad Influence,1990,6.2,"Drama, Thriller",6493,Curtis Hanson,99,12.63,-1.0,-1.0,-1.0,-1.0,False
Bad Land: Road to Fury,2014,5.9,"Action, Drama, Romance",8493,Jake Paltrow,100,,-1.0,-1.0,-1.0,-1.0,False
Bad Lieutenant,2009,6.6,"Crime, Drama",69758,Werner Herzog,122,1.7,-1.0,-1.0,-1.0,-1.0,False
Bad Lieutenant,1992,7.1,"Crime, Drama, Thriller",33547,Abel Ferrara,96,2.0,-1.0,-1.0,-1.0,-1.0,False
Bad Milo!,2013,5.7,"Comedy, Horror",6227,Jacob Vaughan,85,0.02,-1.0,-1.0,-1.0,-1.0,False
Bad Moms,2016,6.2,Comedy,94991,Jon Lucas,100,113.26,-1.0,-1.0,-1.0,-1.0,False
Bad Neighbours,2014,6.3,Comedy,257464,Nicholas Stoller,97,150.16,-1.0,-1.0,-1.0,-1.0,False
Bad Neighbours 2,2016,5.7,Comedy,96707,Nicholas Stoller,92,55.29,-1.0,-1.0,-1.0,-1.0,False
Bad News Bears,2005,5.8,"Comedy, Sport",18919,Richard Linklater,113,32.87,-1.0,-1.0,-1.0,-1.0,False
Bad Samaritan,2018,6.4,"Crime, Thriller",9036,Dean Devlin,110,3.44,-1.0,-1.0,-1.0,-1.0,False
Bad Santa,2003,7.1,"Comedy, Crime, Drama",123605,Terry Zwigoff,91,60.06,-1.0,-1.0,0.0,0.0,True
Bad Santa 2,2016,5.6,"Comedy, Crime, Drama",18104,Mark Waters,92,17.78,-1.0,-1.0,-1.0,-1.0,False
Bad Taste,1987,6.7,"Comedy, Horror, Sci-Fi",40321,Peter Jackson,91,,-1.0,-1.0,-1.0,-1.0,False
Bad Teacher,2011,5.6,"Comedy, Romance",176936,Jake Kasdan,92,100.29,-1.0,-1.0,-1.0,-1.0,False
Bad Times at the El Royale,2018,7.4,"Crime, Drama, Mystery",20772,Drew Goddard,141,17.18,-1.0,-1.0,-1.0,-1.0,False
Bad Timing,1980,7.1,"Drama, Mystery, Thriller",6861,Nicolas Roeg,123,,-1.0,-1.0,-1.0,-1.0,False
Bad Words,2013,6.7,"Comedy, Drama",43110,Jason Bateman,89,7.76,-1.0,-1.0,-1.0,-1.0,False
Bad ma ra khahad bord,1999,7.6,Drama,6818,Abbas Kiarostami,118,0.21,-1.0,-1.0,-1.0,-1.0,False
Badlands,1973,7.9,"Crime, Drama",56163,Terrence Malick,94,,-1.0,-1.0,-1.0,-1.0,False
Badlapur,2015,7.5,"Action, Crime, Drama",18107,Sriram Raghavan,134,0.37,-1.0,-1.0,-1.0,-1.0,False
Badrinath Ki Dulhania,2017,6.2,"Comedy, Drama, Romance",8003,Shashank Khaitan,139,1.99,-1.0,-1.0,-1.0,-1.0,False
Bagdad Café,1987,7.5,"Comedy, Drama",10920,Percy Adlon,95,3.59,-1.0,-1.0,-1.0,-1.0,False
Baggage Claim,2013,5.1,Comedy,8076,David E. Talbert,96,21.56,-1.0,-1.0,-1.0,-1.0,False
Baghban,2003,7.5,"Drama, Romance",13018,Ravi Chopra,181,1.1,-1.0,-1.0,-1.0,-1.0,False
Bahubali: The Beginning,2015,8.2,"Action, Drama, Fantasy",89173,S.S. Rajamouli,159,6.74,-1.0,-1.0,-1.0,-1.0,False
Bai ri yan huo,2014,6.7,"Crime, Mystery, Thriller",6088,Yi'nan Diao,110,,-1.0,-1.0,-1.0,-1.0,False
Bailout: The Age of Greed,2013,6.1,"Action, Crime, Thriller",18854,Uwe Boll,99,,-1.0,-1.0,-1.0,-1.0,False
Baiohazâdo: Dijenerêshon,2008,6.5,"Animation, Action, Horror",26990,Makoto Kamiya,97,,-1.0,-1.0,-1.0,-1.0,False
Bairavaa,2017,6.2,Action,6402,Bharathan,169,,-1.0,-1.0,-1.0,-1.0,False
Baise-moi,2000,4.5,"Crime, Drama, Thriller",15705,Virginie Despentes,77,0.01,-1.0,-1.0,-1.0,-1.0,False
Baisers volés,1968,7.8,"Comedy, Drama, Romance",9965,François Truffaut,90,,-1.0,-1.0,-1.0,-1.0,False
Bait,2012,5.2,"Action, Horror, Thriller",13898,Kimble Rendall,93,,-1.0,-1.0,-1.0,-1.0,False
Bait,2000,5.8,"Action, Comedy, Crime",9860,Antoine Fuqua,119,15.33,-1.0,-1.0,-1.0,-1.0,False
Bajirao Mastani,2015,7.2,"Action, Drama, History",26848,Sanjay Leela Bhansali,158,6.56,-1.0,-1.0,-1.0,-1.0,False
Bajrangi Bhaijaan,2015,8.0,"Action, Comedy, Drama",60183,Kabir Khan,163,8.18,-1.0,-1.0,-1.0,-1.0,False
Bakemono no ko,2015,7.7,"Animation, Action, Adventure",14684,Mamoru Hosoda,119,0.45,-1.0,-1.0,-1.0,-1.0,False
Bakha satang,1999,7.8,Drama,6254,Chang-dong Lee,129,,-1.0,-1.0,-1.0,-1.0,False
Bakjwi,2009,7.2,"Drama, Horror, Romance",36395,Chan-wook Park,135,0.3,-1.0,-1.0,-1.0,-1.0,False
Bal,2010,7.2,Drama,6047,Semih Kaplanoglu,103,,-1.0,-1.0,-1.0,-1.0,False
Balada triste de trompeta,2010,6.6,"Comedy, Drama, Horror",11830,Álex de la Iglesia,107,0.04,-1.0,-1.0,-1.0,-1.0,False
Balkanski spijun,1984,8.9,"Comedy, Drama",8914,Dusan Kovacevic,95,,-1.0,-1.0,-1.0,-1.0,False
Ball of Fire,1941,7.8,"Comedy, Romance",9316,Howard Hawks,111,,0.0,-1.0,-1.0,0.0,True
Ballada o soldate,1959,8.1,"Drama, Romance, War",8329,Grigoriy Chukhray,88,,-1.0,-1.0,-1.0,-1.0,False
Ballerina,2016,6.8,"Animation, Adventure, Comedy",15155,Eric Summer,89,24.48,-1.0,-1.0,-1.0,-1.0,False
Ballistic: Ecks vs. Sever,2002,3.6,"Action, Crime, Sci-Fi",17848,Wych Kaosayananda,91,14.29,-1.0,-1.0,-1.0,-1.0,False
Balls of Fury,2007,5.3,"Comedy, Crime, Sport",38271,Robert Ben Garant,90,32.84,-1.0,-1.0,-1.0,-1.0,False
Balto,1995,7.1,"Animation, Adventure, Drama",35160,Simon Wells,78,11.27,-1.0,-1.0,-1.0,-1.0,False
Bambi,1942,7.3,"Animation, Drama, Family",112324,James Algar,70,102.8,0.0,-1.0,-1.0,0.0,True
Bambi II,2006,6.2,"Animation, Drama, Family",7882,Brian Pimental,75,,-1.0,-1.0,-1.0,-1.0,False
Bamboozled,2000,6.5,"Comedy, Drama, Music",9344,Spike Lee,135,2.19,-1.0,-1.0,-1.0,-1.0,False
Bana Masal Anlatma,2015,7.7,"Comedy, Fantasy, Romance",12113,Burak Aksak,103,,-1.0,-1.0,-1.0,-1.0,False
Banana Joe,1982,6.4,"Action, Comedy",6242,Steno,96,,-1.0,-1.0,-1.0,-1.0,False
Bananas,1971,7.1,Comedy,31068,Woody Allen,82,,-1.0,-1.0,-1.0,-1.0,False
Band Baaja Baaraat,2010,7.2,"Comedy, Drama, Romance",12921,Maneesh Sharma,139,,-1.0,-1.0,-1.0,-1.0,False
Bande de filles,2014,6.9,Drama,6215,Céline Sciamma,113,,-1.0,-1.0,-1.0,-1.0,False
Bande à Part,1964,7.8,"Comedy, Crime, Drama",19411,Jean-Luc Godard,95,0.04,-1.0,-1.0,-1.0,-1.0,False
Bandidas,2006,5.7,"Action, Comedy, Crime",31684,Joachim Rønning,93,,-1.0,-1.0,-1.0,-1.0,False
Bandits,2001,6.5,"Comedy, Crime, Drama",61373,Barry Levinson,123,41.58,-1.0,0.0,0.0,0.0,True
Bandslam,2009,6.4,"Comedy, Drama, Family",12948,Todd Graff,111,5.21,-1.0,-1.0,-1.0,-1.0,False
Bang Bang,2014,5.5,"Action, Adventure, Comedy",19242,Siddharth Anand,153,2.55,-1.0,-1.0,-1.0,-1.0,False
Bang Bang You're Dead,2002,7.9,"Crime, Drama, Thriller",11904,Guy Ferland,93,,-1.0,-1.0,-1.0,-1.0,False
Bang Boom Bang - Ein todsicheres Ding,1999,7.6,"Action, Comedy, Crime",8519,Peter Thorwarth,110,,-1.0,-1.0,-1.0,-1.0,False
Bangalore Days,2014,8.3,"Comedy, Drama, Romance",11703,Anjali Menon,171,0.13,-1.0,-1.0,-1.0,-1.0,False
Bangkok Dangerous,2008,5.4,"Action, Crime, Thriller",52018,Danny Pang,99,15.28,-1.0,-1.0,-1.0,-1.0,False
Banlieue 13: Ultimatum,2009,6.5,"Action, Crime, Thriller",40426,Patrick Alessandrin,101,0.04,-1.0,-1.0,-1.0,-1.0,False
Banshee Chapter,2013,5.5,"Horror, Sci-Fi, Thriller",7854,Blair Erickson,87,,-1.0,-1.0,-1.0,-1.0,False
Baran,2001,7.8,"Drama, Romance",7081,Majid Majidi,94,0.13,-1.0,-1.0,-1.0,-1.0,False
Barb Wire,1996,3.2,"Action, Sci-Fi",22601,David Hogan,98,3.79,-1.0,-1.0,-1.0,-1.0,False
Barbara,2012,7.2,Drama,10894,Christian Petzold,105,,-1.0,-1.0,-1.0,-1.0,False
Barbarella,1968,5.9,"Adventure, Comedy, Fantasy",28270,Roger Vadim,98,,-1.0,-1.0,-1.0,-1.0,False
Barbershop,2002,6.3,"Comedy, Drama",27196,Tim Story,102,75.78,-1.0,-1.0,-1.0,-1.0,False
Barbershop 2: Back in Business,2004,5.7,"Comedy, Drama",13014,Kevin Rodney Sullivan,106,65.11,-1.0,-1.0,-1.0,-1.0,False
Barbershop: A Fresh Cut,2016,5.9,"Comedy, Drama",12814,Malcolm D. Lee,111,54.03,-1.0,-1.0,-1.0,-1.0,False
Barda,2007,7.0,"Crime, Drama, Thriller",8930,Serdar Akar,92,,-1.0,-1.0,-1.0,-1.0,False
Barefoot,2014,6.6,"Comedy, Drama, Romance",20703,Andrew Fleming,90,0.01,-1.0,-1.0,-1.0,-1.0,False
Barefoot in the Park,1967,7.0,"Comedy, Romance",14374,Gene Saks,106,19.99,0.0,-1.0,-1.0,0.0,True
Bareilly Ki Barfi,2017,7.5,"Comedy, Romance",9672,Ashwiny Iyer Tiwari,116,,-1.0,-1.0,-1.0,-1.0,False
Barely Lethal,2015,5.4,"Action, Adventure, Comedy",16419,Kyle Newman,96,,-1.0,-1.0,-1.0,-1.0,False
Barfi!,2012,8.1,"Comedy, Drama, Romance",66302,Anurag Basu,151,2.8,-1.0,-1.0,-1.0,-1.0,False
Barfly,1987,7.3,"Comedy, Drama, Romance",16745,Barbet Schroeder,100,3.22,-1.0,-1.0,0.0,0.0,True
Barfuss,2005,7.2,"Comedy, Drama, Romance",9556,Til Schweiger,118,,-1.0,-1.0,-1.0,-1.0,False
Barney's Version,2010,7.3,"Comedy, Drama",22658,Richard J. Lewis,134,7.5,0.0,-1.0,1.0,1.0,True
Barnyard,2006,5.6,"Animation, Adventure, Comedy",24038,Steve Oedekerk,90,72.78,-1.0,-1.0,-1.0,-1.0,False
Barry Lyndon,1975,8.1,"Adventure, Drama, History",126735,Stanley Kubrick,185,,1.0,-1.0,0.0,1.0,True
Barton Fink,1991,7.7,"Comedy, Drama, Thriller",101166,Joel Coen,116,6.15,0.0,-1.0,0.0,0.0,True
Basic,2003,6.5,"Action, Crime, Drama",54905,John McTiernan,98,26.54,-1.0,-1.0,-1.0,-1.0,False
Basic Instinct,1992,6.9,"Drama, Mystery, Thriller",151951,Paul Verhoeven,127,117.73,0.0,-1.0,0.0,0.0,True
Basic Instinct 2,2006,4.3,"Drama, Mystery, Thriller",34310,Michael Caton-Jones,114,5.97,-1.0,-1.0,-1.0,-1.0,False
Baska Dilde Ask,2009,7.4,Drama,6237,Ilksen Basarir,98,,-1.0,-1.0,-1.0,-1.0,False
Basket Case,1982,6.2,"Comedy, Horror",13666,Frank Henenlotter,91,,-1.0,-1.0,-1.0,-1.0,False
Baskin,2015,5.7,"Fantasy, Horror",6844,Can Evrenol,97,,-1.0,-1.0,-1.0,-1.0,False
Basquiat,1996,6.9,"Biography, Drama",17708,Julian Schnabel,107,2.96,-1.0,-1.0,-1.0,-1.0,False
Bastille Day,2016,6.3,"Action, Crime, Drama",28926,James Watkins,92,0.04,-1.0,-1.0,-1.0,-1.0,False
Bat*21,1988,6.4,"Drama, War",7095,Peter Markle,105,3.97,-1.0,-1.0,-1.0,-1.0,False
Batman,1989,7.6,"Action, Adventure",303963,Tim Burton,126,251.19,1.0,-1.0,0.0,1.0,True
Batman & Robin,1997,3.7,"Action, Sci-Fi",212234,Joel Schumacher,125,107.33,-1.0,-1.0,-1.0,-1.0,False
Batman Begins,2005,8.3,"Action, Adventure, Thriller",1150820,Christopher Nolan,140,206.85,0.0,-1.0,-1.0,0.0,True
Batman Forever,1995,5.4,"Action, Adventure, Fantasy",214231,Joel Schumacher,121,184.03,0.0,-1.0,0.0,0.0,True
Batman Ninja,2018,5.7,"Animation, Action",10097,Junpei Mizusaki,85,,-1.0,-1.0,-1.0,-1.0,False
Batman Returns,1992,7.0,"Action, Crime, Fantasy",245143,Tim Burton,126,162.83,0.0,-1.0,-1.0,0.0,True
Batman and Harley Quinn,2017,5.9,"Animation, Action, Adventure",8123,Sam Liu,74,,-1.0,-1.0,-1.0,-1.0,False
Batman v Superman: Dawn of Justice,2016,6.5,"Action, Adventure, Fantasy",550363,Zack Snyder,151,330.36,-1.0,-1.0,-1.0,-1.0,False
Batman: Mask of the Phantasm,1993,7.9,"Animation, Action, Adventure",36656,Eric Radomski,76,5.62,-1.0,-1.0,-1.0,-1.0,False
Batman: The Killing Joke,2016,6.5,"Animation, Action, Crime",40958,Sam Liu,76,3.78,-1.0,-1.0,-1.0,-1.0,False
Batman: The Movie,1966,6.5,"Adventure, Comedy, Crime",26797,Leslie H. Martinson,105,,-1.0,-1.0,-1.0,-1.0,False
Batoru rowaiaru II: Chinkonka,2003,4.7,"Action, Drama, Thriller",18035,Kenta Fukasaku,134,,-1.0,-1.0,-1.0,-1.0,False
Bats,1999,3.7,"Horror, Sci-Fi, Thriller",8911,Louis Morneau,91,10.16,-1.0,-1.0,-1.0,-1.0,False
Battle Beyond the Stars,1980,5.5,"Action, Adventure, Sci-Fi",6533,Jimmy T. Murakami,104,,-1.0,-1.0,-1.0,-1.0,False
Battle Los Angeles,2011,5.8,"Action, Sci-Fi",164815,Jonathan Liebesman,116,83.55,-1.0,-1.0,-1.0,-1.0,False
Battle Royale,2000,7.7,"Adventure, Drama, Sci-Fi",155779,Kinji Fukasaku,114,,-1.0,-1.0,-1.0,-1.0,False
Battle for Haditha,2007,7.0,"Drama, History, War",6884,Nick Broomfield,97,0.01,-1.0,-1.0,-1.0,-1.0,False
Battle for the Planet of the Apes,1973,5.5,"Action, Sci-Fi",26232,J. Lee Thompson,86,8.8,-1.0,-1.0,-1.0,-1.0,False
Battle in Seattle,2007,6.7,"Action, Drama",13615,Stuart Townsend,99,0.22,-1.0,-1.0,-1.0,-1.0,False
